"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.969194323E0,-6.862487197E-1,9.815634727E0,1.101430774E0
2.985860261E0,-5.586325526E-1,9.894320488E0,8.302438855E-1
3.002526198E0,-4.536432922E-1,9.944694519E0,7.672967315E-1
3.019192136E0,-4.747824669E-1,9.906466484E0,8.924367428E-1
3.035858073E0,-4.981703460E-1,9.889982224E0,8.995482326E-1
3.052524011E0,-5.757526755E-1,9.782370567E0,8.710352778E-1
3.069189948E0,-5.571443439E-1,9.694996834E0,7.711787820E-1
3.085855886E0,-5.698531270E-1,9.581925392E0,6.612448096E-1
3.102521823E0,-5.233576894E-1,9.523884773E0,5.982134938E-1
3.119187761E0,-5.212278366E-1,9.549224854E0,5.227556825E-1
3.135853698E0,-5.031214356E-1,9.651045799E0,5.181436539E-1
3.152519636E0,-4.259148538E-1,9.786164284E0,5.744810700E-1
3.169185573E0,-3.672409058E-1,9.901291847E0,5.621010661E-1
3.185851511E0,-3.287001848E-1,9.907817841E0,5.859667659E-1
3.202517448E0,-2.706422508E-1,9.879899025E0,5.944940448E-1
3.219183386E0,-1.742736250E-1,9.834784508E0,5.562853217E-1
3.235849323E0,-1.313032061E-1,9.786969185E0,5.104992986E-1
3.252515261E0,-4.474662244E-2,9.832381248E0,4.293275774E-1
3.269181198E0,-8.547946066E-2,9.918004036E0,5.844752789E-1
3.285847136E0,-1.276448369E-1,9.892898560E0,6.434269547E-1
3.302513073E0,-2.216272503E-1,9.913163185E0,6.005677581E-1
3.319179011E0,-2.337212414E-1,9.892159462E0,6.128404737E-1
3.335844948E0,-2.339131236E-1,9.813573837E0,6.196320057E-1
3.352510886E0,-2.371550202E-1,9.805079460E0,5.718845725E-1
3.369176823E0,-1.665112376E-1,9.831330299E0,4.579967558E-1
3.385842761E0,-7.602044940E-2,9.879954338E0,3.590247631E-1
3.402508698E0,5.290756002E-3,9.869878769E0,4.536217153E-1
3.419174636E0,6.484413892E-2,9.806672096E0,5.397894382E-1
3.435840573E0,1.491131186E-1,9.758030891E0,2.592543066E-1
3.452506511E0,2.686924934E-1,9.850464821E0,2.162268758E-1
3.469172448E0,3.162128925E-1,9.998545647E0,2.836798429E-1
3.485838386E0,3.715198040E-1,1.011778736E1,2.853349149E-1
3.502504323E0,4.004853964E-1,1.003909397E1,5.849963054E-2
3.519170261E0,4.438589513E-1,9.922932625E0,-9.755288810E-2
3.535836198E0,4.223791063E-1,9.908226967E0,-3.224285692E-2
3.552502136E0,3.124318719E-1,9.979920387E0,-8.215975016E-3
3.569168073E0,9.517078847E-2,1.000755119E1,1.552840024E-1
3.585834011E0,-1.537571698E-1,9.841185570E0,3.604898453E-1
3.602499948E0,-3.108010292E-1,9.687749863E0,3.603557348E-1
3.619165886E0,-4.111708105E-1,9.685172081E0,1.827579886E-1
3.635831823E0,-3.896095455E-1,9.754153252E0,1.881314963E-1
3.652497761E0,-3.076126575E-1,9.795296669E0,4.230489731E-1
3.669163698E0,-9.852939844E-2,9.810732841E0,6.223182678E-1
3.685829636E0,7.823112607E-2,9.854211807E0,7.686994076E-1
3.702495573E0,3.618015349E-1,9.813678741E0,6.927928925E-1
3.719161511E0,6.275460124E-1,9.849942207E0,3.435051739E-1
3.735827448E0,7.136909366E-1,9.785428047E0,3.281477988E-1
3.752493386E0,6.773868203E-1,9.741697311E0,4.766920805E-1
3.769159323E0,7.604051232E-1,9.761064529E0,4.963438511E-1
3.785825261E0,7.310236096E-1,9.664214134E0,3.478267193E-1
3.802491198E0,5.460195541E-1,9.615685463E0,2.093138248E-1
3.819157136E0,4.446923733E-1,9.650454521E0,2.604316771E-1
3.835823073E0,3.200637996E-1,9.700654030E0,5.513009429E-1
3.852489011E0,2.189152837E-1,9.681715012E0,7.245090604E-1
3.869154948E0,2.165495306E-1,9.662729263E0,5.896955729E-1
3.885820886E0,2.235753685E-1,9.711480141E0,3.553954661E-1
3.902486823E0,1.088514924E-1,9.584498405E0,6.417808533E-1
3.919152761E0,-1.973154582E-2,9.472846985E0,1.011512876E0
3.935818698E0,-1.213444490E-2,9.557987213E0,9.932639599E-1
3.952484636E0,3.527745605E-2,9.674080849E0,8.043302894E-1
3.969150573E0,1.110381261E-1,9.716655731E0,7.270728946E-1
3.985816511E0,2.626535594E-1,9.729390144E0,7.305127978E-1
4.002482448E0,3.851716220E-1,9.752919197E0,6.109549403E-1
4.019148386E0,5.634008050E-1,9.821034431E0,5.292902589E-1
4.035814323E0,7.726799846E-1,1.001063633E1,-4.168013856E-2
4.052480261E0,6.974921823E-1,1.058635330E1,-6.448932886E-1
4.069146198E0,5.394203663E-1,1.098965836E1,-6.140962243E-1
