"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.980451552E0,-1.192808747E-1,-7.159233093E-3,3.224992156E-1
2.997118218E0,2.313497663E-2,7.096385956E-2,1.217634082E-1
3.013784884E0,4.833152890E-2,9.177875519E-2,1.723996997E-1
3.030451550E0,-3.439536691E-2,6.784915924E-2,2.836842537E-1
3.047118216E0,-4.413455725E-3,6.601333618E-3,2.757712603E-1
3.063784882E0,-1.448251605E-1,-8.991622925E-2,1.865320802E-1
3.080451548E0,-8.468359709E-2,-1.871604919E-1,1.111004353E-1
3.097118214E0,-1.288779974E-1,-3.059616089E-1,-4.286897182E-2
3.113784880E0,-7.844471931E-2,-3.032178879E-1,-5.488228798E-2
3.130451546E0,-8.252623677E-2,-2.559223175E-1,-1.532559395E-1
3.147118212E0,-7.938963175E-2,-9.793758392E-2,-7.720416784E-2
3.163784878E0,2.881526947E-2,2.883625031E-2,-7.863754034E-2
3.180451544E0,2.881526947E-2,2.883625031E-2,-7.863754034E-2
3.197118210E0,1.169919372E-1,6.007575989E-2,1.903301477E-2
3.213784876E0,1.811572909E-1,4.027366638E-2,-3.737521172E-2
3.230451542E0,2.129234374E-1,-1.794338226E-2,1.342803240E-2
3.247118208E0,2.606608272E-1,-4.118156433E-2,-1.240705252E-1
3.263784874E0,3.340075314E-1,4.940414429E-2,-8.942198753E-2
3.280451540E0,2.496069372E-1,6.554126740E-2,1.311828494E-1
3.297118206E0,1.746812463E-1,5.649471283E-2,6.937569380E-2
3.313784872E0,9.323534369E-2,8.164501190E-2,5.821293592E-2
3.330451538E0,7.451838255E-2,2.919864655E-2,1.019576788E-1
3.347118204E0,5.950534344E-2,-5.253314972E-2,1.032584906E-1
3.363784870E0,8.224752545E-2,-4.305267334E-2,5.578649044E-2
3.380451536E0,1.466679573E-1,2.089691162E-2,-1.014259458E-1
3.397118202E0,1.972709298E-1,5.080604553E-2,-1.234985292E-1
3.413784868E0,3.005730510E-1,4.525184631E-3,9.711211920E-2
3.430451534E0,3.236137033E-1,-7.115459442E-2,2.373081446E-2
3.447118200E0,4.380599260E-1,-6.130504608E-2,-2.854105830E-1
3.463784866E0,5.263249278E-1,4.618835449E-2,-2.039604634E-1
3.480451532E0,5.409099460E-1,2.086791992E-1,-1.338089705E-1
3.497118198E0,6.023887992E-1,2.690172195E-1,-1.768141687E-1
3.513784864E0,6.029195786E-1,1.100673676E-1,-4.742484689E-1
3.530451530E0,6.267919540E-1,3.968524933E-2,-5.448445082E-1
3.547118196E0,4.851598740E-1,6.791019440E-2,-4.523375630E-1
