"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.310011670E-1,-2.117891312E0,4.312657833E0,9.066024780E0,1.026047204E1
4.333698650E-1,-2.012551069E0,4.295898914E0,9.061236382E0,1.022795747E1
4.357385630E-1,-1.909604788E0,4.336598873E0,9.039690018E0,1.020630569E1
4.381080940E-1,-1.852146387E0,4.346175194E0,9.039690018E0,1.019978827E1
4.404775740E-1,-1.765958786E0,4.365327835E0,9.001383781E0,1.015872076E1
4.428462710E-1,-1.746806145E0,4.384480953E0,8.972654343E0,1.013822129E1
4.452149690E-1,-1.727653265E0,4.415604115E0,8.927166939E0,1.010824688E1
4.475845010E-1,-1.730047464E0,4.420392513E0,8.891255379E0,1.007905533E1
4.499539800E-1,-1.756382465E0,4.458697796E0,8.888861656E0,1.009835268E1
4.523226260E-1,-1.749200106E0,4.456304073E0,8.855343819E0,1.006655160E1
4.546913760E-1,-1.777929306E0,4.497003555E0,8.824220657E0,1.006235280E1
4.570608550E-1,-1.804264545E0,4.489820957E0,8.800279617E0,1.004284741E1
4.594303340E-1,-1.813840866E0,4.518550396E0,8.776338577E0,1.003650513E1
4.617990320E-1,-1.842570066E0,4.554461956E0,8.752397537E0,1.003706385E1
4.641677820E-1,-1.856934547E0,4.559249878E0,8.699728012E0,9.996010847E0
4.665372610E-1,-1.885663748E0,4.621496677E0,8.675786972E0,1.000915775E1
4.689067400E-1,-1.919181347E0,4.635860920E0,8.615933418E0,9.970394786E0
4.712754380E-1,-1.931151628E0,4.669378281E0,8.575234413E0,9.953244967E0
4.736441880E-1,-1.945516348E0,4.688531399E0,8.522564888E0,9.919751650E0
4.760136670E-1,-1.921575308E0,4.702896118E0,8.508199692E0,9.909548201E0
4.783831460E-1,-1.940727949E0,4.707684040E0,8.477076530E0,9.888859413E0
4.807518440E-1,-1.921575308E0,4.734018803E0,8.443558693E0,9.868995343E0
4.831205420E-1,-1.957486868E0,4.767536640E0,8.407648087E0,9.861526596E0
4.854900740E-1,-1.885663748E0,4.769930363E0,8.359766006E0,9.807836210E0
4.878595530E-1,-1.876087189E0,4.803448200E0,8.311883926E0,9.781627276E0
4.902281990E-1,-1.849752188E0,4.796266079E0,8.280760765E0,9.746627638E0
4.925969490E-1,-1.813840866E0,4.808236599E0,8.283154488E0,9.747810326E0
4.949664280E-1,-1.773141146E0,4.774719238E0,8.259213448E0,9.703431357E0
4.973359070E-1,-1.737229586E0,4.786689281E0,8.247242928E0,9.692645501E0
4.997046050E-1,-1.679771304E0,4.777112961E0,8.220908165E0,9.655349343E0
5.020733550E-1,-1.619918823E0,4.765142441E0,8.163449287E0,9.590235854E0
5.044428340E-1,-1.548095942E0,4.736413479E0,8.125144005E0,9.531431099E0
5.068123130E-1,-1.490637541E0,4.693319321E0,8.079656601E0,9.462034523E0
5.091810110E-1,-1.402055740E0,4.674167156E0,8.065291405E0,9.426692121E0
5.115497610E-1,-1.325444698E0,4.712472439E0,7.986286640E0,9.367228749E0
5.139192400E-1,-1.265592098E0,4.695713520E0,7.928827763E0,9.301492273E0
5.162887190E-1,-1.184192896E0,4.705289841E0,7.873764515E0,9.248688174E0
5.186574170E-1,-1.136310935E0,4.693319321E0,7.840246677E0,9.208035445E0
5.210261150E-1,-1.083640695E0,4.652619839E0,7.813911915E0,9.158513413E0
5.233956460E-1,-1.047729135E0,4.631072998E0,7.749270916E0,9.088221673E0
5.257651260E-1,-1.016605854E0,4.602344036E0,7.698994637E0,9.027157720E0
5.281338240E-1,-9.926649332E-1,4.585585117E0,7.682236195E0,9.001651376E0
5.305025210E-1,-9.806944132E-1,4.590373516E0,7.612807274E0,8.943608060E0
5.328720530E-1,-9.591475725E-1,4.561644077E0,7.576895714E0,8.895949045E0
5.352415320E-1,-9.926649332E-1,4.566432476E0,7.526619911E0,8.859328220E0
5.376101780E-1,-1.011817813E0,4.580797195E0,7.497890472E0,8.844537284E0
5.399789280E-1,-1.038152814E0,4.590373516E0,7.476343632E0,8.834308370E0
5.423484070E-1,-1.086034775E0,4.633467197E0,7.464373112E0,8.852420898E0
5.447178860E-1,-1.121946335E0,4.631072998E0,7.473949909E0,8.863719757E0
5.470865840E-1,-1.177010536E0,4.645437717E0,7.529013634E0,8.924768439E0
5.494553340E-1,-1.289533138E0,4.666984558E0,7.584078312E0,8.997882219E0
5.518248130E-1,-1.361356139E0,4.650226116E0,7.641536236E0,9.048257816E0
5.541942920E-1,-1.488243461E0,4.659801960E0,7.725329876E0,9.143814554E0
5.565629900E-1,-1.629495144E0,4.659801960E0,7.816305637E0,9.244654810E0
5.589316880E-1,-1.794687986E0,4.681348801E0,7.902493000E0,9.358703285E0
5.613012190E-1,-1.919181347E0,4.690925598E0,7.998257160E0,9.468904774E0
5.636706990E-1,-2.055644751E0,4.712472439E0,8.084444046E0,9.580778014E0
5.660393960E-1,-2.177743673E0,4.712472439E0,8.180208206E0,9.688434873E0
5.684080940E-1,-2.297448874E0,4.736413479E0,8.249636650E0,9.786132475E0
5.707776260E-1,-2.407577276E0,4.753171921E0,8.319066048E0,9.879065318E0
5.731471050E-1,-2.441094875E0,4.748383999E0,8.364553452E0,9.923298304E0
5.755157510E-1,-2.486582518E0,4.767536640E0,8.414829254E0,9.986082796E0
5.778845010E-1,-2.484188557E0,4.729230881E0,8.448347092E0,9.995568323E0
5.802539800E-1,-2.417153835E0,4.736413479E0,8.512988091E0,1.003729105E1
5.826234590E-1,-2.342936516E0,4.736413479E0,8.539322853E0,1.004206149E1
5.849921570E-1,-2.261537313E0,4.743595600E0,8.536929131E0,1.002473986E1
5.873609070E-1,-2.149014473E0,4.690925598E0,8.553688049E0,9.989425680E0
5.897303860E-1,-2.081979752E0,4.669378281E0,8.548899651E0,9.960994852E0
5.920998650E-1,-1.959880829E0,4.671772480E0,8.520169258E0,9.912611924E0
